"Dataset","B","WindowSize","PreferredModel","Avg_Sym_Runtime","Median_SpeedUp","Discrepancy"
"MIMIC-III",5,5000,"normal",0.000480083857425754,4.99999988358468,6.00078142039558
"MIMIC-III",5,10000,"normal",0.000750131371360829,8.00000008731149,2.80217111849213
"MIMIC-III",5,20000,"normal",0.000673005810738725,15.9999997089617,2.17437935518195
"MIMIC-III",10,5000,"normal",0.000662997903441606,4.00000002910383,0.452696480830874
"MIMIC-III",10,10000,"normal",0.000725170782839056,7.99999985448085,0.384636742483551
"MIMIC-III",10,20000,"normal",0.000748019017615787,15.9999996798579,0.333179418833918
"MIMIC-III",15,5000,"normal",0.000862683438205047,4.99999991268851,0.251899510365719
"MIMIC-III",15,10000,"normal",0.000836573830994505,8.00000008731149,0.223418200466391
"MIMIC-III",15,20000,"normal",0.000784733227516978,15.9999997089617,0.20203471645629
"MIMIC-III",20,5000,"normal",0.000912473794431997,4.99999991268851,0.204734565731261
"MIMIC-III",20,10000,"normal",0.000887808723126404,8.00000008731149,0.192607396312467
"MIMIC-III",20,20000,"normal",0.000887216059302855,15.9999997089617,0.184194261356275
"BIG IDEAs",5,500,"lognormal",0.000952380954653823,1,0.00591939245760358
"BIG IDEAs",5,1000,"lognormal",0.00112500000341242,1.99999994179234,0.00357107767511304
"BIG IDEAs",5,1500,"lognormal",0.000818181817356328,2.00000002910383,0.00352936284947353
"BIG IDEAs",10,500,"lognormal",0.00111904762230725,1,0.00240045020442765
"BIG IDEAs",10,1000,"lognormal",0.00140625000040018,1.99999994179234,0.00153766967634566
"BIG IDEAs",10,1500,"lognormal",0.000863636359678243,2.00000002910383,0.0019260171324429
"BIG IDEAs",15,500,"lognormal",0.000952380953267926,1,0.00149485532516188
"BIG IDEAs",15,1000,"lognormal",0.00106249999862484,1.99999994179234,0.00142938877172511
"BIG IDEAs",15,1500,"lognormal",0.00100000000384171,2.00000002910383,0.00119310404179698
"BIG IDEAs",20,500,"lognormal",0.00109523809528799,1,0.000531026723037308
"BIG IDEAs",20,1000,"lognormal",0.00118749999819556,2,0.000245886785749046
"BIG IDEAs",20,1500,"lognormal",0.00181818181722933,2.00000002910383,0.0001804953457583
