"Model","n","B","RMSE (Raw)","RMSE (Sym-EW)","RMSE (Sym-QU)","Rel. RMSE (EW)","Rel. RMSE (QU)"
"exp",10000,10,0.00927190743195204,0.00959777228003873,0.00991741419919616,1.80014983254229,2.38493004791488
"exp",10000,20,0.00928795240949253,0.00936013941625448,0.00962578006038758,1.24519707180564,2.0234668669542
"exp",10000,50,0.00924134408835792,0.00922330091424381,0.00944120395341493,1.08260853490407,1.53911857420369
"exp",10000,100,0.00924591937600523,0.00923798072119915,0.00932428177132064,1.03168571337801,1.30600146217031
"exp",10000,200,0.00926994789306958,0.00926470607623774,0.00930494903100279,1.00896072774745,1.18156994678026
"exp",10000,500,0.00956144928875815,0.00956090854038079,0.00958495159421757,0.999951107361615,1.02917247731618
"exp",1e+05,10,0.00300317138477168,0.00319924218132305,0.00322945012635676,2.03778728638395,2.14843109369409
"exp",1e+05,20,0.00301468578487119,0.00302135231473511,0.00308892971933704,1.44028261651498,1.59199285309004
"exp",1e+05,50,0.00301894604685637,0.00301808035797011,0.00305241282794442,1.20661539241068,1.36297601847923
"exp",1e+05,100,0.00299916156810557,0.00299566462397889,0.00301380936387286,1.11441799796068,1.26075766726457
"exp",1e+05,200,0.00303535313706267,0.00303522981904081,0.00304959727337587,1.02586699776846,1.09908066209268
"exp",1e+05,500,0.0030844369546793,0.00308275600853573,0.00308645894813975,1.20643750040404,1.09388031383014
"exp",1e+06,10,0.000978036347669442,0.00105147828455611,0.0010378832051198,2.58051847447498,2.04162056758373
"exp",1e+06,20,0.000969766054589655,0.000990964462690216,0.000986491873560089,1.47912283291544,1.44374287257777
"exp",1e+06,50,0.000962043664224738,0.000964675215577806,0.00096614741861214,1.08688042036365,1.18933228615495
"exp",1e+06,100,0.00095853960396408,0.000959708066651461,0.000959944068861758,1.03155151084513,1.12989287893601
"exp",1e+06,200,0.000962931540217721,0.000963539341554814,0.000962554771305558,1.01121358684222,1.11767322048775
"exp",1e+06,500,0.000958424173371637,0.000958378992357798,0.00095988982465349,1.00102975414517,1.0474148663804
"lognormal",10000,10,0.00565525043744418,0.0138665129218127,0.00621498606807056,3.43156106880428,1.26524149779587
"lognormal",10000,20,0.00568502469614815,0.00782332340073307,0.00593082484947445,1.79873612738464,1.14298422451776
"lognormal",10000,50,0.00569909222922807,0.00613515812527616,0.00581605475910152,1.23142404168057,1.06530723708928
"lognormal",10000,100,0.0057138680333749,0.00579324722790305,0.00576381491250225,1.06359788201377,1.02955225226576
"lognormal",10000,200,0.00577918010748578,0.00581154512893465,0.00581644652610819,1.02817055531377,1.01280628319722
"lognormal",10000,500,0.00574966956501693,0.0057535066452812,0.00576087976678518,1.0022866956757,1.00515238570012
"lognormal",1e+05,10,0.00180985838618772,0.00860990921924658,0.00197397929045383,7.26593899343791,1.23810892578281
"lognormal",1e+05,20,0.00181285888352597,0.00326969824812919,0.00186864696286973,2.56903194247152,1.08348832587933
"lognormal",1e+05,50,0.00181208214650319,0.00205254430741822,0.00183175745393361,1.3210784263888,1.03422482408645
"lognormal",1e+05,100,0.00179414457195286,0.00182935729689978,0.00180600758039205,1.06892256072309,1.01720787514071
"lognormal",1e+05,200,0.00180958689709324,0.00181865521702196,0.00181450320301613,1.02039774151201,1.00284629544205
"lognormal",1e+05,500,0.00181732104227116,0.00182167995288448,0.00181983272908652,1.00837010238038,1.00198307535979
"lognormal",1e+06,10,0.000578911418845622,0.00560497243024763,0.000628030533773007,15.1169893597748,1.23420610378172
"lognormal",1e+06,20,0.000579453192052518,0.00159850343426134,0.00060161980659825,4.15508765831925,1.1110785991454
"lognormal",1e+06,50,0.000578681805898659,0.000724531394641323,0.000585595888116505,1.57158146196455,1.04457974859303
"lognormal",1e+06,100,0.000574620294969572,0.000612357837623347,0.000578766695480379,1.19260612312948,1.02042077397749
"lognormal",1e+06,200,0.000567896825338948,0.000579002416960551,0.000569212243334052,1.07101629992027,1.00985856416644
"lognormal",1e+06,500,0.000572680186675769,0.000577521292271241,0.000573126063795521,1.02388263606048,1.00284537254108
"normal",10000,10,0.00770509811627695,0.00797154681622939,0.00838334330496164,1.13666146685752,1.27982843166672
"normal",10000,20,0.00769337041172706,0.00780619150232801,0.00798839045511061,1.06338372331122,1.1443782820293
"normal",10000,50,0.00772903415413728,0.00774334393800127,0.00785796073094525,1.00254832534442,1.06301824366855
"normal",10000,100,0.007700210616665,0.0077031763330632,0.00773706057287643,1.0023608494907,1.03802254883352
"normal",10000,200,0.00771536669968378,0.00771647835693354,0.0077119412719056,1.00214135681665,1.02283277109898
"normal",10000,500,0.00758123211888803,0.00757937806275166,0.00757526023833903,0.999506466577547,1.00173673309253
"normal",1e+05,10,0.00242260885082988,0.00252719333211021,0.0026211696836978,1.11263300425139,1.20385988319092
"normal",1e+05,20,0.00242359540066302,0.00245139845923036,0.00252040513988415,1.04033317470222,1.09677227387255
"normal",1e+05,50,0.00242754110594018,0.00243537728521639,0.00245351807469696,1.01064302873074,1.03055776048622
"normal",1e+05,100,0.00245006753209841,0.00244945991691278,0.00246130982572693,1.00019904250276,1.01003516732729
"normal",1e+05,200,0.00243402684228948,0.0024343297398534,0.00244159511519269,0.999949977298523,1.01283123649825
"normal",1e+05,500,0.00247673745902522,0.00247716191073908,0.00247976672483695,1.00047449946453,1.00264096487182
"normal",1e+06,10,0.00075365548009975,0.0007903120435707,0.000819532365417514,1.14703890251782,1.26875265616389
"normal",1e+06,20,0.00075442020593564,0.000760929532092542,0.000784476530938858,1.03024324351309,1.10920367833124
"normal",1e+06,50,0.000756844740838796,0.000756795298630368,0.000766080189846992,1.00460048450684,1.05237122035322
"normal",1e+06,100,0.000759531611101093,0.00075997873279509,0.000762548161268169,1.00228371045814,1.02464009649668
"normal",1e+06,200,0.000762595772286692,0.000762760200956143,0.000764612591813729,1.00125206499511,1.01783840032261
"normal",1e+06,500,0.000771255174117149,0.000771268176554388,0.00077224783684948,1.0000077626441,1.00422210363426
